id_unidad,nivel
1,EDUCACIÓN PRIMARIA DE ADULTOS
1,EDUCACIÓN SECUNDARIA DE ADULTOS
1,TÉCNICO AUXILIAR
1,TÉCNICO BÁSICO
1,TÉCNICO MEDIO
2,EDUCACIÓN PRIMARIA DE ADULTOS
2,EDUCACIÓN SECUNDARIA DE ADULTOS
2,TÉCNICO AUXILIAR
2,TÉCNICO BÁSICO
2,TÉCNICO MEDIO
3,EDUCACIÓN PRIMARIA DE ADULTOS
3,EDUCACIÓN SECUNDARIA DE ADULTOS
3,TÉCNICO AUXILIAR
3,TÉCNICO BÁSICO
4,EDUCACIÓN PRIMARIA DE ADULTOS
4,EDUCACIÓN SECUNDARIA DE ADULTOS
4,TÉCNICO AUXILIAR
4,TÉCNICO BÁSICO
5,EDUCACIÓN PRIMARIA DE ADULTOS
5,EDUCACIÓN SECUNDARIA DE ADULTOS
5,TÉCNICO AUXILIAR
5,TÉCNICO BÁSICO
5,TÉCNICO MEDIO
6,PERMANENTE CENTROS Y TALLERES DE APOYO
6,PERMANENTE EDUCACIÓN ADULTO MAYOR
6,PERMANENTE EDUCACIÓN COMUNITARIA
7,EDUCACIÓN PRIMARIA DE ADULTOS
7,EDUCACIÓN SECUNDARIA DE ADULTOS
7,TÉCNICO AUXILIAR
7,TÉCNICO BÁSICO
7,TÉCNICO MEDIO
8,EDUCACIÓN PRIMARIA DE ADULTOS
8,EDUCACIÓN SECUNDARIA DE ADULTOS
8,TÉCNICO AUXILIAR
8,TÉCNICO BÁSICO
9,EDUCACIÓN PRIMARIA DE ADULTOS
9,EDUCACIÓN SECUNDARIA DE ADULTOS
9,TÉCNICO AUXILIAR
9,TÉCNICO BÁSICO
9,TÉCNICO MEDIO
10,EDUCACIÓN SECUNDARIA DE ADULTOS
10,TÉCNICO AUXILIAR
10,TÉCNICO BÁSICO
10,TÉCNICO MEDIO
11,EDUCACIÓN SECUNDARIA DE ADULTOS
11,TÉCNICO AUXILIAR
11,TÉCNICO BÁSICO
11,TÉCNICO MEDIO
12,EDUCACIÓN PRIMARIA DE ADULTOS
12,EDUCACIÓN SECUNDARIA DE ADULTOS
12,TÉCNICO AUXILIAR
12,TÉCNICO BÁSICO
12,TÉCNICO MEDIO
13,EDUCACIÓN PRIMARIA DE ADULTOS
13,EDUCACIÓN SECUNDARIA DE ADULTOS
14,EDUCACIÓN SECUNDARIA DE ADULTOS
14,TÉCNICO AUXILIAR
14,TÉCNICO BÁSICO
14,TÉCNICO MEDIO
15,PERMANENTE COMUNICACIÓN POR RADIO
15,PERMANENTE COMUNICACIÓN POR TELEVISIÓN
15,PERMANENTE EDUCACIÓN COMUNITARIA
16,EDUCACIÓN PRIMARIA DE ADULTOS
16,EDUCACIÓN SECUNDARIA DE ADULTOS
16,TÉCNICO AUXILIAR
16,TÉCNICO BÁSICO
16,TÉCNICO MEDIO
17,EDUCACIÓN SECUNDARIA DE ADULTOS
17,TÉCNICO AUXILIAR
17,TÉCNICO BÁSICO
18,EDUCACIÓN PRIMARIA DE ADULTOS
18,EDUCACIÓN SECUNDARIA DE ADULTOS
18,TÉCNICO AUXILIAR
18,TÉCNICO BÁSICO
19,TÉCNICO AUXILIAR
19,TÉCNICO BÁSICO
19,TÉCNICO MEDIO
20,TÉCNICO AUXILIAR
20,TÉCNICO BÁSICO
20,TÉCNICO MEDIO
21,EDUCACIÓN SECUNDARIA DE ADULTOS
21,TÉCNICO AUXILIAR
21,TÉCNICO BÁSICO
21,TÉCNICO MEDIO
22,EDUCACIÓN PRIMARIA DE ADULTOS
22,EDUCACIÓN SECUNDARIA DE ADULTOS
22,TÉCNICO AUXILIAR
22,TÉCNICO BÁSICO
22,TÉCNICO MEDIO
23,EDUCACIÓN PRIMARIA DE ADULTOS
23,EDUCACIÓN SECUNDARIA DE ADULTOS
23,TÉCNICO AUXILIAR
23,TÉCNICO BÁSICO
24,TÉCNICO AUXILIAR
