id_unidad,nombre_unidad,dependencia,tipo,zona,direccion,latitud,longitud,telefono_fijo,telefono_celular,distrito
1,VILLA ESPERANZA,FISCAL,EDUCACIÓN ALTERNATIVA,VILLA ESPERANZA,CALLE PASCOE Nro 777 ESQUINA AV. SUCRE,-16.49069977,-68.19514465,,,5.0
2,JAPON - AYACUCHO,FISCAL,EDUCACIÓN ALTERNATIVA,SAN LUIS II DE CHARAPAQUI,AV. LITORAL S/N SAN LUIS II CHARAPAQUI,-16.53228067,-68.20946276,,,3.0
3,REPUBLICA DE FRANCIA NOCHE,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION CUPILUPACA,CALLE RIO BERMEJO Nro.2034,-16.54957489,-68.19585294,,,2.0
4,ILLIMANI D,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION TARAPACA SECTOR D,AVENIDA RAUL PRADA S/N,-16.61829948,-68.19062805,,,8.0
5,CRUZ ANDINA,FISCAL,EDUCACIÓN ALTERNATIVA,BAUTISTA SAAVEDRA,AV. BAUSTISTA SAAVEDRA S/N KM. 7 CARRETERA A HUARI,-16.48600006,-68.23358154,,,14.0
6,BARTOLINA SISA 2,CONVENIO,PERMANENTE,SANTA ROSA,AVENIDA CÍVICA S/N ENTRE CALLES 4 Y 6,-16.5319271,-68.16180774,,,1.0
7,MARTIN CARDENAS HERMOSA E,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION VILLA ADELA,PLAN 88 S/N,-16.52280045,-68.20914459,,,3.0
8,EL ALTO,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION LAS RETAMAS JUNTHUMA,CALLE AROMA S/N,-16.61050034,-68.18054962,,,8.0
9,FAUSTO REYNAGA,FISCAL,EDUCACIÓN ALTERNATIVA,VILLA SAN ROQUE,KM. 12 EL ALTO CARRETERA HUARINA,-16.47570038,-68.26966858,,,7.0
10,SANTA ROSA,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION VILLA EXALTACION 2DA Y 3RA SECCION,AV. 6 DE JUNIO Nro 26,-16.53397101,-68.15672648,,,1.0
11,RETAMA,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION LAS RETAMAS I,CALLE 12 S/N,-16.56480026,-68.23686218,,,12.0
12,RADIO SAN GABRIEL B,CONVENIO,EDUCACIÓN ALTERNATIVA,COMUNIDAD CHARAPAQUI COLLPANI,VILLA ADELA PLAZA DE LA CRUZ Nº 100 AV. BOLIVIA,-16.5253363,-68.20139496,,,3.0
13,RADIO SAN GABRIEL,CONVENIO,EDUCACIÓN ALTERNATIVA,COMUNIDAD CHARAPAQUI COLLPANI,VILLA ADELA PLAZA DE LA CRUZ Nº 100 AV. BOLIVIA,-16.5253363,-68.20139496,,,3.0
14,MCAL. JOSE BALLIVIAN B,FISCAL,EDUCACIÓN ALTERNATIVA,BALLIVIAN,RENE VARGAS Y ALVAREZ PLATA Nro 200,-16.48970032,-68.17869568,,,6.0
15,RADIO SAN GABRIEL A,CONVENIO,PERMANENTE,COMUNIDAD CHARAPAQUI COLLPANI,VILLA ADELA PLAZA DE LA CRUZ Nº 100 AV. BOLIVIA,-16.5253363,-68.20139496,,,3.0
16,FRANZ TAMAYO,FISCAL,EDUCACIÓN ALTERNATIVA,RIO SECO VILLA FRANZ TAMAYO,CALLE ALBERTO WILDE Nro 900,-16.49920082,-68.21039581,,,4.0
17,PROF. JUAN RAMIRO QUISPE,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION VILLANDRANI,CALLE 26 DE ENERO ESQUINA 21 DE SEPTIEMBRE,-16.48579979,-68.28816223,,,7.0
18,PABLO ZARATE WILLKA II,FISCAL,EDUCACIÓN ALTERNATIVA,GERMAN BUSCH,CALLE RADIO CONDOR S/N,-16.46299934,-68.17411041,,,5.0
19,BOLIVIA NOCHE,FISCAL,EDUCACIÓN ALTERNATIVA,CIUDAD SATELITE,PLAN 361 CALLE 7 S/N,-16.52659988,-68.15415955,,,1.0
20,MARIA AUXILIADORA,CONVENIO,EDUCACIÓN ALTERNATIVA,VILLA ESPERANZA,AVENIDA SUCRE S/N,-16.48810005,-68.19358063,,,5.0
21,JUAN CAPRILES CIUDAD SATELITE,FISCAL,EDUCACIÓN ALTERNATIVA,CIUDAD SATELITE,AVENIDA DEL POLICIA S/N,-16.52680016,-68.15202332,,,1.0
22,JUAN LECHIN OQUENDO,FISCAL,EDUCACIÓN ALTERNATIVA,SENKATA 79,AV. ANCOHUMA ENTRE CONDORIRI S/N,-16.58740044,-68.19018555,,,8.0
23,REPUBLICA BOLIVARIANA DE VENEZUELA NOCHE,FISCAL,EDUCACIÓN ALTERNATIVA,VILLA DOLORES F,PLAZA 21 DE DICIEMBRE CALLE A - B S/N,-16.52659988,-68.18767548,,,3.0
24,SANTA RITA,CONVENIO,EDUCACIÓN ALTERNATIVA,ALTO LIMA,CALLE LITORAL N 4300,-16.48148664,-68.17594802,,,6.0
25,PAULO FREIRE,FISCAL,EDUCACIÓN ALTERNATIVA,PANORAMICA II,CALLE LUCIO PEREZ VELASCO S/N,-16.57850075,-68.18125153,,,8.0
26,JULIAN APAZA NOCHE,FISCAL,EDUCACIÓN ALTERNATIVA,VILLA JULIANA,AV. COCHABAMBA CALLE 10 Nro 80,-16.53289986,-68.19974518,,,3.0
27,12 DE OCTUBRE NOCHE,FISCAL,EDUCACIÓN ALTERNATIVA,12 DE OCTUBRE,AVENIDA RODOLFO PALENQUE SIN NUMERO,-16.51269913,-68.16326141,,,1.0
28,PACHA QAMASA,CONVENIO,PERMANENTE,VILLA ABAROA,ENTRE CALLE 143 ESQUINA CALLE 108 Nº 105,-16.52897483,-68.18474381,,,2.0
29,VENEZUELA C,FISCAL,EDUCACIÓN ALTERNATIVA,URBANIZACION FRANZ TAMAYO,CARRETERA LAJA PARADA 399,-16.50349998,-68.25315857,,,14.0
30,COREA,FISCAL,EDUCACIÓN ALTERNATIVA,TAHUANTINSUYO,AV.CHINCHASUYO Nº 100,-16.48375201,-68.22162955,,,5.0
31,DELIA GAMBARTE DE QUEZADA,FISCAL,EDUCACIÓN ALTERNATIVA,SANTIAGO II,ENTRE CALLES 5 Y 6 S/N,-16.54039955,-68.17948914,,,2.0
32,SAN MARTIN DE PORRES,CONVENIO,EDUCACIÓN ESPECIAL,HUAYNA POTOSI,AV. IMPERIAL,-16.47895651,-68.19150834,,,5.0
33,BARTOLINA SISA,FISCAL,EDUCACIÓN ESPECIAL,SAN LUIS TASA,CALLE TARIJA S/N,-16.52728543,-68.19542973,,,3.0
34,CEREFE,CONVENIO,EDUCACIÓN ESPECIAL,VILLA DOLORES,CALLE 6 Nro 50,-16.51040077,-68.1578064,,,1.0
35,SAN FRANCISCO DE ASIS,CONVENIO,EDUCACIÓN ESPECIAL,CUPILUPACA,CALLE RIO BERMEJO Nº 1064,-16.54910088,-68.19553375,,,2.0
36,MADRE ASCENSIÓN NICOL,CONVENIO,EDUCACIÓN ESPECIAL,16 DE JULIO,CALLE J. ARZABE N° 3468,-16.49324235,-68.18270533,,,6.0
